Stock,Bond,70%Stock/30%Bond,55%Stock/45%Bond,30%Stock/70%Bond,Cash
0.0,0.0,0.0,0.0,0.0,0
43.81,0.84,30.919,24.4735,13.731,0
-8.3,4.2,-4.55,-2.675,0.45,0
-25.12,4.54,-16.222,-11.773,-4.3580000000000005,0
-43.84,-2.56,-31.456,-25.264,-14.944,0
-8.64,8.79,-3.411,-0.7965,3.5610000000000004,0
49.98,1.86,35.544000000000004,28.326,16.296,0
-1.19,7.96,1.555,2.9275,5.215,0
46.74,4.47,34.059,27.7185,17.151,0
31.94,5.02,23.864,19.826,13.095999999999998,0
-35.34,1.38,-24.324,-18.816,-9.636000000000001,0
29.28,4.21,21.759,17.9985,11.731,0
-1.1,4.41,0.5529999999999999,1.3795,2.7569999999999997,0
-10.67,5.4,-5.849,-3.4385,0.579,0
-12.77,-2.02,-9.545,-7.9325,-5.245,0
19.17,2.29,14.106,11.574000000000002,7.354,0
25.06,2.49,18.289,14.9035,9.261000000000001,0
19.03,2.58,14.095,11.6275,7.515,0
35.82,3.8,26.214000000000002,21.410999999999998,13.405999999999999,0
-8.43,3.13,-4.962,-3.228,-0.33799999999999997,0
5.2,0.92,3.9160000000000004,3.2739999999999996,2.204,0
5.7,1.95,4.575,4.0125,3.075,0
18.3,4.66,14.208,12.162,8.752,0
30.81,0.43,21.695999999999998,17.139,9.544,0
23.68,-0.3,16.486,12.889000000000001,6.894,0
18.15,2.27,13.386,11.004000000000001,7.034,0
-1.21,4.14,0.395,1.1975,2.535,0
52.56,3.29,37.779,30.3885,18.070999999999998,0
32.6,-1.34,22.418000000000003,17.327,8.842,0
7.44,-2.26,4.53,3.075,0.65,0
-10.46,6.8,-5.282,-2.693,1.6219999999999999,0
43.72,-2.1,29.974,23.101,11.645999999999999,0
12.06,-2.65,7.647,5.4405,1.7630000000000001,0
0.34,11.64,3.73,5.425,8.25,0
26.64,2.06,19.266,15.579,9.434,0
-8.81,5.69,-4.46,-2.285,1.34,0
22.61,1.68,16.331,13.1915,7.959,0
16.42,3.73,12.613,10.7095,7.537000000000001,0
12.4,0.72,8.896,7.144,4.224,0
-9.97,2.91,-6.106,-4.1739999999999995,-0.9540000000000001,0
23.8,-1.58,16.186,12.379000000000001,6.034,0
10.81,3.27,8.548,7.417000000000001,5.532,0
-8.24,-5.01,-7.271,-6.7865,-5.979,0
3.56,16.75,7.517,9.4955,12.793,0
14.22,9.79,12.890999999999998,12.2265,11.119000000000002,0
18.76,2.82,13.978,11.587,7.602,0
-14.31,3.66,-8.919,-6.2235,-1.7309999999999999,0
-25.9,1.99,-17.533,-13.3495,-6.377000000000001,0
37.0,3.61,26.983,21.9745,13.627,0
23.83,15.98,21.475,20.2975,18.335,0
-6.98,1.29,-4.499,-3.2585,-1.1909999999999998,0
6.51,-0.78,4.323,3.2295,1.4069999999999998,0
18.52,0.67,13.165,10.4875,6.025,0
31.74,-2.99,21.320999999999998,16.1115,7.428999999999999,0
-4.7,8.2,-0.83,1.105,4.33,0
20.42,32.81,24.136999999999997,25.9955,29.093000000000004,0
22.34,3.2,16.598,13.727,8.942,0
6.15,13.73,8.424,9.561,11.456,0
31.24,25.71,29.581,28.7515,27.369,0
18.49,24.28,20.227,21.0955,22.543000000000003,0
5.81,-4.96,2.5789999999999997,0.9635,-1.729,0
16.54,8.22,14.044,12.796,10.716,0
31.48,17.69,27.343000000000004,25.2745,21.826999999999998,0
-3.06,6.24,-0.27,1.125,3.45,0
30.23,15.0,25.660999999999998,23.3765,19.569000000000003,0
7.49,9.36,8.051,8.3315,8.799,0
9.97,14.21,11.242,11.878,12.937999999999999,0
1.33,-8.04,-1.4809999999999999,-2.8865,-5.229,0
37.2,23.48,33.084,31.026,27.596,0
22.68,1.43,16.305,13.1175,7.805,0
33.1,9.94,26.151999999999997,22.678,16.887999999999998,0
28.34,14.92,24.314,22.301,18.945999999999998,0
20.89,-8.25,12.148,7.777,0.49200000000000005,0
-9.03,16.66,-1.3230000000000002,2.5305,8.953,0
-11.85,5.57,-6.624,-4.011,0.344,0
-21.97,15.12,-10.843,-5.2795,3.9930000000000003,0
28.36,0.38,19.965999999999998,15.769,8.774,0
10.74,4.49,8.865,7.9275,6.365,0
4.83,2.87,4.242,3.948,3.458,0
15.61,1.96,11.515,9.4675,6.055,0
5.48,10.21,6.899,7.6085,8.791,0
-36.55,20.1,-19.555,-11.0575,3.105,0
25.94,-11.12,14.822000000000001,9.263,-0.002,0
14.82,8.46,12.912,11.958,10.368,0
2.1,16.04,6.282,8.373,11.857999999999999,0
15.89,2.97,12.014000000000001,10.076,6.846,0
32.15,-9.1,19.775,13.5875,3.275,0
13.52,10.75,12.689,12.2735,11.581,0
1.36,1.28,1.3359999999999999,1.324,1.304,0
11.74,0.69,8.425,6.7675,4.005,0
