Year,Stock,Bond,70%Stock/30%Bond,55%Stock/45%Bond,30%Stock/70%Bond
Start,0,0,0,0,0
1928,43.81,0.84,30.919,24.4735,13.731
1929,-8.3,4.2,-4.55,-2.675,0.45
1930,-25.12,4.54,-16.222,-11.773,-4.358
1931,-43.84,-2.56,-31.456,-25.264,-14.944
1932,-8.64,8.79,-3.411,-0.7965,3.561
1933,49.98,1.86,35.544,28.326,16.296
1934,-1.19,7.96,1.555,2.9275,5.215
1935,46.74,4.47,34.059,27.7185,17.151
1936,31.94,5.02,23.864,19.826,13.096
1937,-35.34,1.38,-24.324,-18.816,-9.636
1938,29.28,4.21,21.759,17.9985,11.731
1939,-1.1,4.41,0.553,1.3795,2.757
1940,-10.67,5.4,-5.849,-3.4385,0.579
1941,-12.77,-2.02,-9.545,-7.9325,-5.245
1942,19.17,2.29,14.106,11.574,7.354
1943,25.06,2.49,18.289,14.9035,9.261
1944,19.03,2.58,14.095,11.6275,7.515
1945,35.82,3.8,26.214,21.411,13.406
1946,-8.43,3.13,-4.962,-3.228,-0.338
1947,5.2,0.92,3.916,3.274,2.204
1948,5.7,1.95,4.575,4.0125,3.075
1949,18.3,4.66,14.208,12.162,8.752
1950,30.81,0.43,21.696,17.139,9.544
1951,23.68,-0.3,16.486,12.889,6.894
1952,18.15,2.27,13.386,11.004,7.034
1953,-1.21,4.14,0.395,1.1975,2.535
1954,52.56,3.29,37.779,30.3885,18.071
1955,32.6,-1.34,22.418,17.327,8.842
1956,7.44,-2.26,4.53,3.075,0.65
1957,-10.46,6.8,-5.282,-2.693,1.622
1958,43.72,-2.1,29.974,23.101,11.646
1959,12.06,-2.65,7.647,5.4405,1.763
1960,0.34,11.64,3.73,5.425,8.25
1961,26.64,2.06,19.266,15.579,9.434
1962,-8.81,5.69,-4.46,-2.285,1.34
1963,22.61,1.68,16.331,13.1915,7.959
1964,16.42,3.73,12.613,10.7095,7.537
1965,12.4,0.72,8.896,7.144,4.224
1966,-9.97,2.91,-6.106,-4.174,-0.954
1967,23.8,-1.58,16.186,12.379,6.034
1968,10.81,3.27,8.548,7.417,5.532
1969,-8.24,-5.01,-7.271,-6.7865,-5.979
1970,3.56,16.75,7.517,9.4955,12.793
1971,14.22,9.79,12.891,12.2265,11.119
1972,18.76,2.82,13.978,11.587,7.602
1973,-14.31,3.66,-8.919,-6.2235,-1.731
1974,-25.9,1.99,-17.533,-13.3495,-6.377
1975,37,3.61,26.983,21.9745,13.627
1976,23.83,15.98,21.475,20.2975,18.335
1977,-6.98,1.29,-4.499,-3.2585,-1.191
1978,6.51,-0.78,4.323,3.2295,1.407
1979,18.52,0.67,13.165,10.4875,6.025
1980,31.74,-2.99,21.321,16.1115,7.429
1981,-4.7,8.2,-0.83,1.105,4.33
1982,20.42,32.81,24.137,25.9955,29.093
1983,22.34,3.2,16.598,13.727,8.942
1984,6.15,13.73,8.424,9.561,11.456
1985,31.24,25.71,29.581,28.7515,27.369
1986,18.49,24.28,20.227,21.0955,22.543
1987,5.81,-4.96,2.579,0.9635,-1.729
1988,16.54,8.22,14.044,12.796,10.716
1989,31.48,17.69,27.343,25.2745,21.827
1990,-3.06,6.24,-0.27,1.125,3.45
1991,30.23,15,25.661,23.3765,19.569
1992,7.49,9.36,8.051,8.3315,8.799
1993,9.97,14.21,11.242,11.878,12.938
1994,1.33,-8.04,-1.481,-2.8865,-5.229
1995,37.2,23.48,33.084,31.026,27.596
1996,22.68,1.43,16.305,13.1175,7.805
1997,33.1,9.94,26.152,22.678,16.888
1998,28.34,14.92,24.314,22.301,18.946
1999,20.89,-8.25,12.148,7.777,0.492
2000,-9.03,16.66,-1.323,2.5305,8.953
2001,-11.85,5.57,-6.624,-4.011,0.344
2002,-21.97,15.12,-10.843,-5.2795,3.993
2003,28.36,0.38,19.966,15.769,8.774
2004,10.74,4.49,8.865,7.9275,6.365
2005,4.83,2.87,4.242,3.948,3.458
2006,15.61,1.96,11.515,9.4675,6.055
2007,5.48,10.21,6.899,7.6085,8.791
2008,-36.55,20.1,-19.555,-11.0575,3.105
2009,25.94,-11.12,14.822,9.263,-0.002
2010,14.82,8.46,12.912,11.958,10.368
2011,2.1,16.04,6.282,8.373,11.858
2012,15.89,2.97,12.014,10.076,6.846
2013,32.15,-9.1,19.775,13.5875,3.275
2014,13.52,10.75,12.689,12.2735,11.581
2015,1.36,1.28,1.336,1.324,1.304
2016,11.74,0.69,8.425,6.7675,4.005
